Hash,Ply,GamePly,FEN,HasCastled,Eval,Result
77C51D9E08C4CFE5,44,113,3r1r1k/1pq2pp1/p4n1p/P2bp3/8/2N1Q2P/1PP1BPP1/R2R2K1 w - - 0 23,3,-21,0.5
40E22C66F91971B5,44,97,2q3rk/1rnbppbn/p5p1/P1pPp2p/2P2P2/2NBB1N1/R1Q3PP/3R3K w - - 0 23,3,223,1.0
05F5B9C1E13B6DB2,55,204,r2br2k/3b1pp1/2p4p/P2p4/8/1NN1R1P1/2P2PP1/R5K1 b - - 0 28,3,-111,0.0
B7F72DC9E8B257F2,97,131,8/3b1pk1/3Q2p1/1pnPp2p/4P1P1/2q1N2P/2B2P2/5K2 b - g3 0 49,3,-252,1.0
D30ED7CEEA0347BF,45,105,3r2k1/1p3ppp/rnp1pn2/1p6/3PP3/P3BPP1/1P5P/2R1RBK1 b - - 8 23,3,135,0.5
5FBA2109603D3D66,139,162,8/4k3/r6p/4P1pP/4n3/8/6K1/5R2 b - - 4 70,3,-835,0.0
B616FCC024D2C623,165,178,8/5K2/3k4/5P2/4R3/8/7r/8 b - - 2 83,3,412,1.0
6C02A2DF1DFF27D4,71,137,8/2p3b1/1p2k2p/4p2P/p1P1B3/P3P3/1P2KPP1/8 b - - 1 36,0,342,1.0
FF9F28B98001BC81,88,110,2r2rk1/5p2/b3p2p/p1npP2B/1q1N3P/1PR2QPK/8/2R5 w - - 13 45,3,4,1.0
C804494384061CA0,26,207,r1bq1rk1/pp2b1pp/1nn1p3/3pPp2/3P4/1BN1BN2/PP2QPPP/R4RK1 w - - 0 14,3,119,1.0
BC575E8C388FDC8F,13,136,rnbq1rk1/p1p1bppp/3p1n2/1P2p3/4P3/1P4P1/PB1P1PBP/RN1QK1NR b KQ - 0 7,2,-12,0.0
09A8F052553A1F05,85,168,8/5pk1/3q2p1/7p/5P1P/1Q4P1/2r1b3/2R1R1K1 b - - 0 43,3,-325,0.0
FA217B6A6E22831E,62,94,2r5/1p4k1/p1r3pp/3pp3/3p1n1P/P2BnP2/1P1R3P/2N3RK w - - 6 32,3,-819,0.0
EE5CA779D9009B8E,82,146,8/7p/6p1/8/p1N4n/1k1K1P2/7P/8 w - - 0 42,3,-375,0.0
A17F024BEDDBD093,138,151,8/bp6/2p1k3/P3n1p1/2P2p1p/1KP2P2/4B1P1/4B3 w - - 36 70,1,-85,0.5
4A73470F5753CA95,41,112,r1b1rnk1/2qnbpp1/7p/p1pNp3/P3P3/4BN1P/2Q2PP1/1R1R1BK1 b - - 0 21,3,249,1.0
285EB8915A6AEAC3,87,371,8/5pk1/1q4p1/3p3p/2p2R1P/2P2RP1/5P2/6K1 b - - 2 44,3,-22,0.5
913090CEFB57B26F,79,96,4r1k1/2r3pp/1p2pp2/p5P1/PbPPRP2/5NKP/8/2R5 b - - 0 40,3,-69,0.5
11171943F8C20771,79,113,8/q4pk1/1p3n2/4NPpp/3PP3/5RrP/6P1/2Q3K1 b - - 2 40,3,330,1.0
9593FA85C2B786D9,92,133,8/r5k1/3NQnp1/8/8/2b4P/5P2/5K2 w - - 8 47,3,465,1.0
915E00C8F47122D4,64,133,4r1k1/Q3bp2/8/2pBq1p1/2Pp3p/P2P2PP/5PK1/1R6 w - - 0 33,3,256,1.0
F5193B6C8805F64F,43,155,1r3rk1/1b1q2bp/pp1p4/3Ppp2/P6P/1PRP4/3B1PB1/3QR1K1 b - - 0 22,3,-46,0.5
22AD23AB97192EDB,29,74,r2q1rk1/3b1pbp/4pnp1/p2p4/3P4/RBP2N2/1P3PPP/2BQR1K1 b - - 1 15,3,-12,1.0
F4C4143FEA9E4F1D,83,135,8/5pk1/1R5p/5Pp1/1P6/8/1r4PK/8 b - - 2 42,3,-25,0.0
D6DDCA1B25EF0707,101,138,8/7p/p3k3/P5PP/2p1p3/4K3/8/8 b - - 5 51,2,-294,0.0
B67D4755894A2202,58,85,4r2k/1r3qbn/ppNP4/4P1p1/P1p2p1p/2N1B1nP/1P1Q2P1/1R2R1K1 w - - 0 30,3,291,1.0
98DF9A2C5F053A99,41,54,r3k2r/pp3pp1/3qp1p1/3p2P1/3P4/7P/PP2Q1P1/4RRK1 b kq - 0 21,1,-218,0.0
3561D06F10955B00,57,133,r1r5/1qbn1pkn/2bp2p1/pp2p1Pp/4PP2/PN1B3P/NPPQ1B2/1K1R1R2 b - - 0 29,1,-105,1.0
CA127E7978F8D4C0,124,149,2n2k2/8/4R3/3N4/1p6/5P1K/6PP/1r6 w - - 4 63,3,274,1.0
88E364CB7CCED146,107,225,8/5rpk/4Q2p/8/4P3/4b2P/6K1/8 b - - 0 54,3,233,0.5
8BD26B81BC276245,121,176,8/1p4p1/p7/3p1p1k/1P1Q2b1/2B5/4q3/6K1 b - - 3 61,3,-576,0.0
C5405E825D2587E9,19,151,rn1qk2r/1p2ppb1/p1p2npp/2Pp4/3P1B2/2NQPN1P/PP3PP1/R3K2R b KQkq - 0 10,0,45,1.0
2E3016F661AEAFE1,25,127,rnbq1rk1/p3ppbp/2p3p1/1pPp3n/3P3B/2NBP3/PPQ2PPP/2R1K1NR b K - 1 13,2,18,0.5
E3D72ABDD14CB036,39,319,5rk1/p2q1pp1/1p2b2p/3p4/3Q4/4PBP1/PP2P2P/2R3K1 b - - 1 20,3,11,1.0
287608524D9F0109,89,175,5k2/5p2/5rpp/1N1R4/1b6/4P2P/5PP1/6K1 b - - 0 45,3,136,1.0
B6DA6AD7E8801204,172,264,3Q4/5p1k/6b1/2r4p/8/5P2/6P1/5K2 w - - 8 87,3,286,0.5
7A90FE6DB366DD50,34,113,2q2rk1/p2n1pp1/1p3b1p/2r5/4B3/2N2Q2/PP3PPP/2RR2K1 w - - 2 18,3,-18,0.5
5FAF2B0ED1205201,158,233,2r2bk1/1b2q2p/6p1/p2p1p1P/Pn1N4/1QB1P1P1/4BPK1/1R6 w - - 37 80,3,155,0.5
114A098070C23CBE,88,141,1b6/p2b1kp1/5p1p/B1p5/4p2P/1P2P1P1/PN3P2/4K3 w - - 1 45,3,-9,0.0
654FD7A17ACF1936,49,76,5rk1/pp1Q1p1p/6p1/8/P6P/4P3/1q3PP1/5RK1 b - h3 0 25,3,94,0.5
0FF274F7A89F54DE,17,79,r1b1k1nr/1pqp1ppp/p1nbp3/8/3NP1P1/P1N1B3/1PP2P1P/R2QKB1R b KQkq - 2 9,0,26,1.0
A730366782FAFA32,17,45,rn3rk1/pp1qppbp/3p1np1/2p5/4P3/2PP1N2/PP3PPP/RNBQR1K1 b - - 0 9,3,-7,0.5
E44A86455405A464,189,279,7k/4R3/r7/6K1/7P/8/8/8 b - - 24 95,3,114,1.0
6992C61BE1C16F05,62,119,3r4/1q2bk2/p1rpb2p/3Np3/2B2p1P/QP1R2P1/P4P2/3R2K1 w - - 0 32,1,198,1.0
14B6EEA8FCCA247C,75,87,7k/3b3p/1p6/p2p2P1/3P1r2/P3K3/1P4B1/4R3 b - - 1 38,3,94,1.0
28769D695F9216C1,103,142,8/7p/R4pk1/5p2/4r2P/6K1/8/8 b - - 1 52,3,-338,0.0
F85600366974C9E0,80,220,5r2/2N3pk/7p/5b2/3R4/PP4p1/2P3P1/5K2 w - - 0 41,1,103,0.0
CAC2E71C28388673,71,122,6k1/6p1/5r1p/8/P2pR3/1P6/2rB1b1P/3R3K b - - 0 36,3,-107,0.5
C243B236F8B89E6B,152,210,8/5p1p/pk2p1p1/1p1pP1P1/1P1P4/PK5P/3B4/8 w - - 18 77,3,299,0.5
2F63B7DBB12B2B4C,99,147,7r/3R4/1k4KP/8/pbP2BBP/1r3P2/8/8 b - - 3 50,2,287,1.0
AC6A55B10E094C8F,41,95,r4rk1/4b1pp/nP1pp3/p2b1p2/3P1B2/5NP1/P3PPBP/R2R2K1 b - - 0 21,3,147,1.0
C9AF548494B53528,69,120,2r1r1k1/1p4pp/pBp2pn1/5R2/1P2P1q1/P1QP2P1/7P/5RK1 b - - 1 35,3,36,0.5
046233C951408D97,39,116,r2b1rk1/5ppp/1pN5/p2N4/P1p5/1P1b4/5PPP/2RR2K1 b - - 1 20,3,69,1.0
378A1EE14EFA87E0,58,138,5rk1/6pp/B1P3n1/5p2/p2rp3/1p6/R2N1PPP/5RK1 w - - 0 30,3,123,0.0
26E422A25A8727CB,153,173,8/8/2b3p1/5rP1/7B/4K3/2k5/8 b - - 7 77,3,-988,0.0
335414FBBD448124,27,83,r1b2rk1/ppp1bppp/4q3/3nN3/8/6P1/PPPBQPBP/R3R1K1 b - - 8 14,3,135,1.0
5E19A9B9DF2D3D87,64,86,2r3k1/5pp1/p6p/1p1q4/3P1P2/P3Q1P1/7P/3R2K1 w - - 8 33,3,-175,0.0
F20FB8B5A197639D,28,104,2r1k2r/2qnbpp1/p2pbn2/1p2p3/4PP1p/1NNBB2P/PPPQ2P1/1K1R1R2 w k - 2 15,1,135,0.0
1AC1FE6A76DB1DF4,45,175,r4k2/pp3pbp/1n4p1/1P2P3/6P1/1P5P/1P3PK1/R3R3 b - - 1 23,3,-4,1.0
4D2D0AC69CD612C4,104,185,8/2k5/6p1/1pP3R1/rP2bP1P/1K6/1B4p1/8 w - - 6 53,1,-82,0.0
2FA49C23B8C63C7C,40,74,1r1qk2r/4bp2/R2p2p1/1p1Ppn2/8/2P3P1/1P3PB1/2BQ1RK1 w k - 0 21,1,146,0.0
AC1D34B8FD35B895,21,127,rnbq1rk1/4bppp/1pp2n2/p2p2B1/P2P4/2N1PN2/1P2BPPP/2RQ1RK1 b - - 1 11,3,92,0.5
CF6965A65E5DBD66,30,138,r1b2rk1/pp3qp1/2np1b1p/3N1p2/2PPp2P/1P4P1/P3BP2/R1BQK2R w KQ - 1 16,2,60,1.0
30FCB2E00C271E19,138,211,8/8/1N6/8/8/3k3b/2p5/B1K5 w - - 27 70,2,73,0.5
35411F8A616E1ACA,76,99,7k/8/4Pbpp/5p2/3q2P1/1Bp5/2Q1PP1P/6K1 w - - 1 39,3,123,0.5
